,property_class,property_class_description,owner1,address,city,state,zip_code,latitude,longitude,mail
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,42.91442098,-78.86398323,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,42.91199352,-78.84737802,
21,,,,,,,,42.90731252,-78.86001117,
23,,,,,,,,42.90424158,-78.8646162,
24,,,,,,,,,,
30,,,,,,,,,,
33,,,,,,,,42.91252337,-78.83353233,
35,,,,,,,,42.91104367,-78.83400106,
38,,,,,,,,42.91100007,-78.82955634,
39,,,,,,,,,,
42,,,,,,,,42.90536446,-78.83056428,
51,,,,,,,,,,
61,,,,,,,,42.89820519,-78.85623281,
68,,,,,,,,,,
77,,,,,,,,42.88901532,-78.84858896,
89,,,,,,,,42.89226868,-78.82295516,
90,,,,,,,,42.89223695,-78.82456533,
93,,,,,,,,42.88947465,-78.81621321,
102,,,,,,,,42.86944414,-78.85314682,
104,,,,,,,,42.86911117,-78.84789529,
108,,,,,,,,,,
111,,,,,,,,42.85942182,-78.81805527,
116,,,,,,,,,,
121,,,,,,,,,,
122,,,,,,,,,,
123,,,,,,,,,,
125,,,,,,,,42.84807771,-78.81739751,
128,,,,,,,,42.83690404,-78.81668077,
137,,,,,,,,42.95450859,-78.90073388,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
158,,,,,,,,,,
159,,,,,,,,,,
164,,,,,,,,42.95339736,-78.83376173,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,,,,,,
180,,,,,,,,,,
196,,,,,,,,42.91997204,-78.82406898,
202,,,,,,,,42.90686971,-78.89688817,
203,,,,,,,,,,
212,,,,,,,,42.90801233,-78.82353193,
214,,,,,,,,42.90565942,-78.82248364,
217,,,,,,,,42.89989528,-78.84568455,
225,,,,,,,,42.89949364,-78.82031438,
236,,,,,,,,42.91139419,-78.85627695,
237,,,,,,,,42.90007746,-78.82029269,
247,,,,,,,,42.90784666,-78.8235307,
251,,,,,,,,42.90162963,-78.85780295,
253,,,,,,,,42.91534568,-78.81543052,
254,,,,,,,,42.91062415,-78.81159383,
255,,,,,,,,42.91173165,-78.83808671,
258,,,,,,,,42.89989144,-78.85622521,
260,,,,,,,,42.91134116,-78.82395018,
261,,,,,,,,42.89868272,-78.82031726,
262,,,,,,,,,,
270,,,,,,,,42.90352084,-78.8221738,
271,,,,,,,,42.90038519,-78.84672841,
273,,,,,,,,42.90337199,-78.8545289,
275,,,,,,,,42.9091763,-78.86125109,
277,,,,,,,,42.90629785,-78.83502389,
278,,,,,,,,42.90933527,-78.81715273,
280,,,,,,,,42.90635816,-78.85754863,
283,,,,,,,,42.90909886,-78.81079811,
285,,,,,,,,42.90739095,-78.79947084,
289,,,,,,,,42.91642484,-78.8733844,
290,,,,,,,,42.90953255,-78.81543690000001,
291,,,,,,,,42.91007604,-78.8621107,
294,,,,,,,,42.91065722,-78.83056002,
296,,,,,,,,42.91517358,-78.82009924,
303,,,,,,,,42.91141243,-78.86292007,
305,,,,,,,,42.90326239,-78.84746334,
314,,,,,,,,42.91078073,-78.85777341,
326,,,,,,,,42.90098744,-78.82309066,
327,,,,,,,,42.91619728,-78.80959866,
330,,,,,,,,42.91084057,-78.86164317,
331,,,,,,,,42.90421072,-78.83057753,
334,,,,,,,,42.90239594,-78.83019822,
335,,,,,,,,42.90757207,-78.83398728,
336,,,,,,,,42.91423955,-78.84931491,
337,,,,,,,,42.91401371,-78.81702155,
343,,,,,,,,42.91034567,-78.84896768,
349,,,,,,,,42.90549911,-78.86369529,
350,,,,,,,,42.89906616,-78.83149885,
352,,,,,,,,42.91713387,-78.82612594,
363,,,,,,,,42.91469575,-78.82629992,
370,,,,,,,,42.9158989,-78.82871021,
378,,,,,,,,42.91592836,-78.85917995,
385,,,,,,,,42.91410468,-78.81601801,
391,,,,,,,,42.91232046,-78.830127,
394,,,,,,,,42.91172724,-78.83763516,
395,,,,,,,,42.91363396,-78.8532611,
397,,,,,,,,42.90102473,-78.83141551,
400,,,,,,,,42.899485999999996,-78.85476417,
402,,,,,,,,42.90052375,-78.86034338,
405,,,,,,,,42.91590626,-78.86007971,
409,,,,,,,,42.91285316,-78.84613009,
412,,,,,,,,42.90044438,-78.8313363,
413,,,,,,,,42.90652439,-78.82595948,
417,,,,,,,,42.90117573,-78.83238973,
418,,,,,,,,42.90588593,-78.85330253,
419,,,,,,,,42.91349621,-78.82461132,
423,,,,,,,,42.90798412,-78.85125965,
426,,,,,,,,42.91111364,-78.82159874,
428,,,,,,,,42.90667119,-78.85310952,
429,,,,,,,,42.905128999999995,-78.83480259999999,
433,,,,,,,,42.91027502,-78.83993705,
435,,,,,,,,42.90957147,-78.85077027,
436,,,,,,,,42.9149467,-78.84877834,
439,,,,,,,,42.90537256,-78.86284191,
440,,,,,,,,42.91081557,-78.81649916,
445,,,,,,,,42.91485752,-78.85553119,
446,,,,,,,,42.91083654,-78.86134671,
447,,,,,,,,42.91010594,-78.83085874,
450,,,,,,,,42.90629825,-78.83458486,
461,,,,,,,,42.90295773,-78.82830013,
463,,,,,,,,42.89876039,-78.84377148,
476,,,,,,,,42.90204544,-78.81419872,
486,,,,,,,,42.9075664,-78.82512994,
488,,,,,,,,42.90994945,-78.82393533,
502,,,,,,,,42.9006034,-78.83382928,
504,,,,,,,,42.90240444,-78.84749799,
508,,,,,,,,42.90132625,-78.83051669,
511,,,,,,,,42.90744942,-78.82456853,
514,,,,,,,,42.91134156,-78.82355588,
520,,,,,,,,42.913611200000005,-78.80684739,
521,,,,,,,,42.89882023,-78.85174869,
523,,,,,,,,42.91424503,-78.81601797,
528,,,,,,,,42.91339403,-78.82566537,
529,,,,,,,,42.90459062,-78.82801385,
536,,,,,,,,42.90167859,-78.85513023,
545,,,,,,,,42.89800073,-78.84744471,
547,,,,,,,,42.90307365,-78.8323833,
553,,,,,,,,42.90040239,-78.84084483,
555,,,,,,,,42.91543265,-78.83872419,
556,,,,,,,,42.90297822,-78.84693177,
560,,,,,,,,42.90640978,-78.86177173,
564,,,,,,,,42.90393199,-78.82268264,
566,,,,,,,,42.90694772,-78.82185588,
567,,,,,,,,42.90237669,-78.8174989,
568,,,,,,,,42.91307558,-78.82532209,
570,,,,,,,,42.91637031,-78.85879978,
576,,,,,,,,42.90647686,-78.83296569,
577,,,,,,,,42.90865796,-78.85557273,
581,,,,,,,,42.910748,-78.84577761,
586,,,,,,,,42.91433932,-78.86258097,
587,,,,,,,,42.905286,-78.86513404,
594,,,,,,,,42.91103613,-78.83308572,
598,,,,,,,,42.9010271,-78.85106463,
605,,,,,,,,42.89928764,-78.83677374,
614,,,,,,,,42.90390545,-78.81682965,
618,,,,,,,,42.90596012,-78.85710711,
620,,,,,,,,42.89901412,-78.85172467,
621,,,,,,,,42.90238092,-78.82829719,
622,,,,,,,,42.89931657,-78.85434641,
624,,,,,,,,42.91538808,-78.82296228,
625,,,,,,,,42.91641481,-78.81443974,
638,,,,,,,,42.9158282,-78.85981939,
641,,,,,,,,42.9146955,-78.87234066,
643,,,,,,,,42.91106638,-78.83633519,
647,,,,,,,,42.91231239,-78.82939783,
658,,,,,,,,42.9004994,-78.82570904,
660,,,,,,,,42.90597827,-78.8582569,
661,,,,,,,,42.91495476,-78.84763714,
662,,,,,,,,42.91353983,-78.84121848,
663,,,,,,,,42.90989354,-78.85176982,
669,,,,,,,,42.90262287,-78.82670986,
670,,,,,,,,42.90311863,-78.84188695,
675,,,,,,,,42.910990999999996,-78.82868247,
676,,,,,,,,42.90221034,-78.82670885,
680,,,,,,,,42.91081652,-78.85210984,
691,,,,,,,,42.89910813,-78.83630175,
693,,,,,,,,42.90602907,-78.81744704,
703,,,,,,,,42.91107003,-78.83657118,
704,,,,,,,,42.90325868,-78.82573075,
706,,,,,,,,42.90818453,-78.86076675,
710,,,,,,,,42.90472263,-78.83177140000001,
711,,,,,,,,42.90305774,-78.84291328,
722,,,,,,,,42.91259619,-78.85468909999999,
723,,,,,,,,42.90415187,-78.81739322,
